place_id,licence,osm_type,osm_id,lat,lon,class,type,place_rank,importance,addresstype,name,display_name,boundingbox
92729953,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7685026292,47.4992587,8.7213153,amenity,food_court,30,6.545433737692863e-05,amenity,Migros Take-Away,"Migros Take-Away, 3, Strickerstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4992087', '47.4993087', '8.7212653', '8.7213653']"
92788177,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,564888543,47.4986144,8.7267513,amenity,restaurant,30,6.545433737692863e-05,amenity,Restaurant Alterszentrum Neumarkt,"Restaurant Alterszentrum Neumarkt, 6, Neumarkt, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4985644', '47.4986644', '8.7267013', '8.7268013']"
92537265,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,359692842,47.5023945,8.7182843,amenity,restaurant,30,9.99999999995449e-06,amenity,Stadion,"Stadion, 50, Wartstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8401, Schweiz/Suisse/Svizzera/Svizra","['47.5023445', '47.5024445', '8.7182343', '8.7183343']"
93120235,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,359687975,47.4989829,8.7262079,amenity,restaurant,30,9.99999999995449e-06,amenity,Restaurant Trübli,"Restaurant Trübli, 2, Bosshardengässchen, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4989329', '47.4990329', '8.7261579', '8.7262579']"
93237460,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",way,68254705,47.4771247,8.726162011085346,amenity,restaurant,30,9.99999999995449e-06,amenity,Bruderhaus,"Bruderhaus, 1, Bruderhausstrasse, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4770221', '47.4772488', '8.7260500', '8.7264192']"
93121995,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,6510465867,47.49246,8.7084259,amenity,fast_food,30,9.99999999995449e-06,amenity,Pizza con Amore,"Pizza con Amore, 89, Zürcherstrasse, Chrugeler, Töss, Winterthur, Bezirk Winterthur, Zürich, 8406, Schweiz/Suisse/Svizzera/Svizra","['47.4924100', '47.4925100', '8.7083759', '8.7084759']"
92223372,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,359686638,47.5004628,8.7268709,amenity,restaurant,30,9.99999999995449e-06,amenity,Rosa Pulver,"Rosa Pulver, 10, Stadthausstrasse, Heiligberg, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.5004128', '47.5005128', '8.7268209', '8.7269209']"
92729953,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,7685026292,47.4992587,8.7213153,amenity,food_court,30,6.545433737692863e-05,amenity,Migros Take-Away,"Migros Take-Away, 3, Strickerstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.4992087', '47.4993087', '8.7212653', '8.7213653']"
92237011,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,4095987433,47.5076476,8.7084093,amenity,restaurant,30,9.99999999995449e-06,amenity,Bocciodromo Pizzeria,"Bocciodromo Pizzeria, 9, Flüelistrasse, Weinberg, Wülflingen, Winterthur, Bezirk Winterthur, Zürich, 8407, Schweiz/Suisse/Svizzera/Svizra","['47.5075976', '47.5076976', '8.7083593', '8.7084593']"
92300093,"Data © OpenStreetMap contributors, ODbL 1.0. http://osm.org/copyright",node,359686907,47.5008859,8.7260018,amenity,restaurant,30,6.545433737692863e-05,amenity,Coop Restaurant,"Coop Restaurant, 8, Bankstrasse, Neuwiesen, Stadt, Winterthur, Bezirk Winterthur, Zürich, 8400, Schweiz/Suisse/Svizzera/Svizra","['47.5008359', '47.5009359', '8.7259518', '8.7260518']"
